tokenizer,dataset,num_tokens_min,num_tokens_max,num_tokens_mean,num_tokens_std,num_nuc_min,num_nuc_max,num_nuc_mean,num_nuc_std,fertility_min,fertility_max,fertility_mean,fertility_std
yeast_4096.json,virus/covid,181,226,198.4878707302107,3.0280030513964813,999,999,999.0,0.0,1.8118118118118118,2.2622622622622623,1.9868655728749811,0.030310340854819713
tokenizer_DNABERT2.json,virus/covid,192,229,203.84452171541557,3.8861101760529495,999,999,999.0,0.0,1.921921921921922,2.2922922922922924,2.0404857028570125,0.03890000176229182
mouse_4096.json,virus/covid,190,233,203.6815981454967,5.0184394444267095,999,999,999.0,0.0,1.901901901901902,2.3323323323323324,2.0388548362912573,0.05023462907334048
hg38_4096.json,virus/covid,188,229,202.72778345946682,4.6172136354971105,999,999,999.0,0.0,1.8818818818818819,2.2922922922922924,2.0293071417364046,0.04621835470968084
bacteria_4096.json,virus/covid,194,224,203.49020249539782,3.026984552779056,999,999,999.0,0.0,1.941941941941942,2.2422422422422423,2.0369389639178954,0.030300145673464045
gpt-tokenizer.json,virus/covid,485,535,518.2797163700825,5.89858840879866,999,999,999.0,0.0,4.854854854854855,5.355355355355355,5.187985148849674,0.05904492901700358
yeast_4096.json,tf/0,17,30,22.708258694175058,1.514140569532504,101,101,101.0,0.0,1.683168316831683,2.9702970297029703,2.2483424449678275,0.14991490787450532
tokenizer_DNABERT2.json,tf/0,14,30,23.747451973562296,1.7603414655035623,101,101,101.0,0.0,1.386138613861386,2.9702970297029703,2.351232868669534,0.1742912342082735
mouse_4096.json,tf/0,10,32,22.58765210945704,1.9136447203062883,101,101,101.0,0.0,0.9900990099009901,3.1683168316831685,2.2364011989561425,0.1894697742877513
hg38_4096.json,tf/0,8,29,21.96719995058373,2.2642490053688036,101,101,101.0,0.0,0.7920792079207921,2.871287128712871,2.1749702921370027,0.2241830698384953
bacteria_4096.json,tf/0,17,27,21.291000061770337,1.2569133947974236,101,101,101.0,0.0,1.683168316831683,2.6732673267326734,2.108019808096073,0.12444687077202213
gpt-tokenizer.json,tf/0,36,67,53.859040088949286,2.163332899463121,101,101,101.0,0.0,3.5643564356435644,6.633663366336633,5.332578226628642,0.21419137618446735
yeast_4096.json,tf/1,16,30,22.63129238393323,1.4967091978527445,101,101,101.0,0.0,1.5841584158415842,2.9702970297029703,2.2407220182112106,0.1481890294903707
tokenizer_DNABERT2.json,tf/1,14,30,23.685511215440794,1.7514386805707702,101,101,101.0,0.0,1.386138613861386,2.9702970297029703,2.345100120340672,0.17340977035354163
mouse_4096.json,tf/1,13,32,22.436554512258738,1.876345420204322,101,101,101.0,0.0,1.2871287128712872,3.1683168316831685,2.2214410408176968,0.18577677427765563
hg38_4096.json,tf/1,9,29,21.84040818988002,2.2997037663247095,101,101,101.0,0.0,0.8910891089108911,2.871287128712871,2.162416652463368,0.22769344221036728
bacteria_4096.json,tf/1,16,26,21.340701617110067,1.26013440061489,101,101,101.0,0.0,1.5841584158415842,2.5742574257425743,2.1129407541693137,0.124765782239098
gpt-tokenizer.json,tf/1,41,65,53.9011802295253,2.1389223134012707,101,101,101.0,0.0,4.0594059405940595,6.435643564356436,5.336750517774783,0.21177448647537325
yeast_4096.json,tf/2,17,29,22.824,1.563126074369872,101,101,101.0,0.0,1.683168316831683,2.871287128712871,2.2598019801980196,0.15476495785840313
tokenizer_DNABERT2.json,tf/2,15,30,23.874473684210525,1.743931750155247,101,101,101.0,0.0,1.4851485148514851,2.9702970297029703,2.3638092756644085,0.17266650991636107
mouse_4096.json,tf/2,11,32,22.725210526315788,1.9726580456683296,101,101,101.0,0.0,1.0891089108910892,3.1683168316831685,2.2500208441896823,0.1953126777889435
hg38_4096.json,tf/2,10,29,22.11063157894737,2.1885135788660124,101,101,101.0,0.0,0.9900990099009901,2.871287128712871,2.1891714434601353,0.21668451275901113
bacteria_4096.json,tf/2,17,26,21.272052631578948,1.2506908443558742,101,101,101.0,0.0,1.683168316831683,2.5742574257425743,2.106143824908807,0.1238307766688984
gpt-tokenizer.json,tf/2,40,63,53.74278947368421,2.1870768217792813,101,101,101.0,0.0,3.9603960396039604,6.237623762376238,5.321068264721209,0.21654225958210704
yeast_4096.json,tf/3,16,27,21.389609437971714,1.424010328842203,101,101,101.0,0.0,1.5841584158415842,2.6732673267326734,2.117783112670467,0.14099112166754485
tokenizer_DNABERT2.json,tf/3,12,29,22.699018099215944,1.5683645860033169,101,101,101.0,0.0,1.188118811881188,2.871287128712871,2.247427534575836,0.15528362237656596
mouse_4096.json,tf/3,10,28,21.08364475708947,1.4938415698542948,101,101,101.0,0.0,0.9900990099009901,2.772277227722772,2.0874895799098487,0.14790510592616782
hg38_4096.json,tf/3,8,27,20.6980288708141,1.9905167942443374,101,101,101.0,0.0,0.7920792079207921,2.6732673267326734,2.0493097891895147,0.19708087071726113
bacteria_4096.json,tf/3,16,28,21.38378398182751,1.2630277805838976,101,101,101.0,0.0,1.5841584158415842,2.772277227722772,2.1172063348344063,0.1250522555033562
gpt-tokenizer.json,tf/3,41,61,53.13266652011431,2.1283049912399443,101,101,101.0,0.0,4.0594059405940595,6.03960396039604,5.260660051496465,0.21072326645940043
yeast_4096.json,tf/4,18,28,22.43636842105263,1.4428252833252804,101,101,101.0,0.0,1.7821782178217822,2.772277227722772,2.2214226159458055,0.1428539884480475
tokenizer_DNABERT2.json,tf/4,15,29,23.460105263157896,1.7893097966449472,101,101,101.0,0.0,1.4851485148514851,2.871287128712871,2.322782699322564,0.1771593858064304
